,NOC,Predicted Gold,Predicted Total Medal,Simulated Gold Mean,Simulated Gold Min,Simulated Gold Max,Simulated Total Medal Mean,Simulated Total Medal Min,Simulated Total Medal Max,One Simulation Gold,One Simulation Total Medal,2024 Gold,2024 Total Medal
71,塞浦路斯,0.1093979850411415,0.8896602988243103,0.3333333333333333,0,1,0.6666666666666666,0,1,0,0,0,1
69,埃及,0.1868568360805511,0.9078533053398132,0.0,0,0,0.3333333333333333,0,1,0,0,1,3
68,乌干达,0.2612713277339935,0.9107710719108582,0.3333333333333333,0,1,0.6666666666666666,0,2,0,0,1,2
66,阿尔及利亚,0.5414141416549683,0.9410082697868348,0.6666666666666666,0,1,0.6666666666666666,0,1,0,0,2,3
59,保加利亚,0.2722559869289398,1.5246344804763794,0.3333333333333333,0,1,0.6666666666666666,0,1,1,0,3,7
50,斯洛文尼亚,0.4377466142177582,2.1182148456573486,0.3333333333333333,0,1,2.0,0,3,0,0,2,3
48,中华台北,0.7407876253128052,2.2247493267059326,0.3333333333333333,0,1,1.6666666666666667,0,4,0,0,2,7
47,阿塞拜疆,0.6764477491378784,2.271248817443848,1.0,0,2,1.0,0,2,2,0,2,7
46,乌兹别克斯坦,1.1403175592422483,2.3438560962677,1.6666666666666667,0,3,2.0,0,3,2,0,8,13
39,格鲁吉亚,0.7490260601043701,3.158766984939575,0.6666666666666666,0,1,0.6666666666666666,0,2,1,0,3,7
104,沙特阿拉伯,0.0763277783989906,0.3398427963256836,0.3333333333333333,0,1,0.3333333333333333,0,1,0,0,0,0
110,秘鲁,0.0099929347634315,0.2873026728630066,0.0,0,0,0.0,0,0,0,0,0,1
143,莱索托,0.0269751027226448,0.2053401470184326,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
128,利比里亚,0.0352132692933082,0.2283170819282531,0.0,0,0,0.0,0,0,0,0,0,0
142,毛里塔尼亚,0.0276188924908638,0.2068047821521759,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
141,毛里求斯,0.0206570401787757,0.2076184153556823,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
140,列支敦士登,0.0311097018420696,0.2084640264511108,0.0,0,0,0.0,0,0,0,0,0,0
138,多哥,0.0281718298792839,0.2098269760608673,0.0,0,0,0.0,0,0,0,0,0,0
136,圣多美和普林西比,0.0313450619578361,0.2108179628849029,0.0,0,0,0.0,0,0,0,0,0,0
135,巴布亚新几内亚,0.0295087471604347,0.2113693356513977,0.0,0,0,0.0,0,0,0,0,0,0
133,基里巴斯,0.0281868204474449,0.2132015526294708,0.0,0,0,0.0,0,0,0,0,0,0
132,瑙鲁,0.0338388755917549,0.2140076011419296,0.0,0,0,0.0,0,0,0,0,0,0
131,赤道几内亚,0.0334157422184944,0.2162020802497863,0.0,0,0,0.6666666666666666,0,1,0,0,0,0
130,多米尼克,0.0420357510447502,0.2197158336639404,0.0,0,0,0.0,0,0,0,0,1,1
129,英属维尔京群岛,0.031932033598423,0.2206211686134338,0.0,0,0,0.0,0,0,0,0,0,0
127,莫桑比克,0.0266550406813621,0.2285032868385315,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
112,加蓬,0.0132533088326454,0.2750143706798553,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
126,厄立特里亚,0.0491223707795143,0.2291850447654724,0.0,0,0,0.0,0,0,0,0,0,0
125,土库曼斯坦,0.0355247631669044,0.2319309711456298,0.0,0,0,0.0,0,0,0,0,0,0
124,科威特,0.0279769375920295,0.232068121433258,0.0,0,0,0.0,0,0,0,0,0,0
123,尼泊尔,0.035100944340229,0.2321894168853759,0.0,0,0,0.0,0,0,0,0,0,0
122,几内亚比绍,0.0339086428284645,0.2354770898818969,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
121,苏丹,0.0488055869936943,0.2361060976982116,0.3333333333333333,0,1,0.6666666666666666,0,2,0,0,0,0
120,黎巴嫩,0.0421502962708473,0.2421614527702331,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
119,波斯尼亚和黑塞哥维那,0.056556113064289,0.2440832257270813,0.0,0,0,0.0,0,0,0,0,0,0
117,加纳,0.0576104894280433,0.2503913044929504,0.3333333333333333,0,1,1.0,0,2,0,0,0,0
114,阿鲁巴,0.068988986313343,0.2568689584732055,0.0,0,0,0.0,0,0,0,0,0,0
113,利比亚,0.0130535140633583,0.2586411833763122,0.0,0,0,0.0,0,0,0,0,0,0
201,安哥拉,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
